,NAME,RA,DEC,Class,SC_EP_8_FLUX,SC_EP_5_FLUX,SC_EP_4_FLUX,SC_EP_3_FLUX,SC_EP_2_FLUX,SC_FVAR,SC_DET_ML,G,BP,RP,J,H,K,W1,W2,W3
4722,A85-F,10.396249999999998,-9.364444444444443,AGN,8.460410599999999e-13,2.5945544e-14,1.581566e-13,1.8728628000000002e-13,1.8975334e-13,0.43712577,3179.149000000001,,,,,,,,,
4723,MARK  957,10.472499999999998,40.35472222222222,AGN,1.5369557e-12,3.6671167999999996e-13,2.8176533e-13,3.1530643e-13,3.6066457e-13,0.23286156,45641.77,18.412346,17.46949,16.076912,14.03,13.413,12.587,11.152000000000001,10.489,6.598
4724,IV Zw  29,10.567083333333333,40.326666666666654,AGN,2.5740282000000007e-12,1.1317156e-12,5.922000600000002e-13,4.2207682000000015e-13,3.191364e-13,0.19427839,26429.96,16.84891,16.798070000000003,15.735458,15.024000000000001,14.208,13.633,12.267000000000001,11.42,8.537
4725,SDSS J00427+0058,10.697916666666666,0.9711111111111108,AGN,6.301771e-14,1.8125074e-14,1.7091272e-14,1.1078997e-14,1.1732170000000001e-14,,452.8115,20.82084,19.686792,18.269312,16.596,15.665999999999999,15.243,14.397,13.665,10.367
4726,SDSS J00431+0005,10.786666666666665,0.09916666666666664,AGN,2.6082870000000002e-14,9.66381e-16,5.1104776e-15,4.226791e-15,4.8686959999999995e-15,,38.23206,,,,,,,,,
4727,SDSS J00431-0938,10.798333333333332,-9.637777777777776,AGN,6.480583000000001e-13,2.6419803000000004e-13,1.205933e-13,9.996997e-14,9.2179336e-14,0.1801968,4160.183,19.134167,17.686916,16.36836,15.024000000000001,14.322000000000001,13.921,12.31,11.911,9.041
4728,UM 269,10.832499999999998,0.8544444444444443,AGN,1.9455752e-12,6.561482e-13,4.382137800000001e-13,3.211523e-13,2.844755e-13,0.021109764,78927.39,18.181227,18.236632999999998,17.417269,16.391,15.434000000000001,14.668,12.927,11.934000000000001,9.704
4729,SDSS J00435+0014,10.9,0.24888888888888885,AGN,4.2814287000000003e-13,2.4852941e-13,3.9005484e-14,4.7537130000000004e-14,5.4289984000000004e-14,,298.8549,19.720817999999998,18.81962,17.357946,15.899000000000001,15.123,14.685,13.427,12.833,10.405
4730,SDSS J00437+0102,10.9325,1.0377777777777777,AGN,8.518058e-15,3.3468093e-15,9.346358000000001e-16,7.269376e-16,1.1817036e-15,,8.270273,19.8514,18.726053,17.252691,15.788,15.209000000000001,14.648,,,
4731,SDSS J00440+0101,11.019583333333333,1.0313888888888891,AGN,1.7704346999999998e-12,1.1830229e-12,3.743472e-13,1.2567527e-13,1.8218084999999998e-14,0.09471968,7124.851,19.843819,18.447893,16.864573999999998,15.433,14.529000000000002,14.074000000000002,12.905999999999999,12.187999999999999,9.925
