BeSS #,Be star,Vmag,Type,Simbad classification,vsini,RA,Dec,Plx,pmRA,pmDE,epsi,sepsi,Gmag,BPmag,RPmag,Tefftemp,Gflux,rpgeo,b_rpgeo,B_rpgeo,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,N_H,Gamma,HR1,HR2,Flux (0.3-1 keV),Flux (1-2 keV),Flux (2-10 keV),X-ray source
92,Cl* NGC 330 ELS 065055,14.72,B1IIIe,HMXB,420.0,13.48058,-72.44592,-0.0412,0.678,-1.234,0.104,3.47,14.664824,14.632143,14.606682,,3.4094267491627634e-15,,,,,,,,,,,,,,,,,,,0.7144,-0.2812,0.2221,3.278424327051696e-15,1.839211379313441e-15,2.889145522515471e-15,CXO
117,Cl* NGC 330 ELS 016486,15.58,B1IIIe,HMXB,496.0,13.69342,-72.42299,-0.036,0.699,-1.247,0.096,1.48,15.482405,15.45147,15.366459,,1.6056429034055256e-15,,,,14.454,0.016,14.309,0.017,,,,,15.293,0.059,15.205,0.093,14.84,0.12,95.6722,2.0534,-0.721,-0.5051,2.862733030050614e-14,4.6413161954515e-15,1.526112941231369e-15,CXO
164,2E 0054.4-7237,15.88,Be,HMXB,,14.02171,-72.3667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8699,0.701,2.2200319604703514e-16,3.18965e-15,1.814521059772061e-14,XMM
217,gam Cas,2.47,B0IVpe,Em*,432.0,14.17721,60.71674,,,,2.042,2970.0,2.064583,2.725843,2.315109,,3.739191985160192e-10,,,,1.5133,43.9178,0.534,0.0011,0.362,0.12,-0.287,0.01,2.039,0.238,1.993,0.182,1.756,0.23,,,0.3624,0.6679,1.405802253927273e-11,3.00362e-11,1.5085242236431998e-10,XMM
228,RX J0057.4-7325,15.67,Be,HMXB,,14.3625,-73.4221,0.0293,0.793,-1.286,0.072,0.726,15.625085,15.581367,15.631404,,1.4079167123422515e-15,,,,15.1666,0.0099,15.2014,0.0291,,,,,15.67,0.063,15.575,0.145,15.605,0.24,10.146,0.6985,-0.7502,-0.0495,6.509710546882818e-13,9.292021355742791e-14,8.414929387416124e-14,CXO
238,RX J0058.2-7231,14.9,Be,HMXB,,14.55292,-72.5125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.237,0.749,0.288,1.4231975090787641e-13,9.917021686767959e-13,1.7939780804153278e-12,XRT
248,[HP2004] 39,,Be,HMXB,,15.12579,-72.3431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.053,0.6806,0.7823,9.553717953426755e-16,5.02643e-15,4.11592422882734e-14,XMM
254,RX J0101.0-7206,15.72,B3.5Ve,HMXB,,15.26329,-72.1158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.324,0.453,4.9086101667057686e-14,9.613905119405971e-14,2.553748471388826e-13,XRT
258,RX J0101.3-7211,15.49,Be,HMXB,,15.33671,-72.1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.886,6.973294988956376e-15,2.7041e-14,4.4716851927825767e-13,XMM
271,RX J0105.5-7221,15.15,Be,HMXB,,16.148,-72.36328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,CXO
287,XTE J0111-7317,15.52,B1IVe,HMXB,,17.785,-73.2794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2531,0.7705,2.0090544238981587e-15,3.37041e-15,2.5996773895458654e-14,XMM
