Name,RAJ2000,DEJ2000,Gal_l,Gal_b,Size,Signif,Pivot_E,Flux,F1,F2,F3,F4,F5,F6,F7,F8,PL_Index,LP_Index,LP_SigCurv,Var_Indx,ASSOC1,Class,HR1,HR2,HR3
4FGL J0431.8+7403 ,67.9517,74.0552,136.58528,17.369314,0.0265,20.00251,2578.6274,4.243734e-12,6.8875955e-18,3.7457182e-13,5.502617e-13,5.5212947e-13,7.564647e-13,1.2415502e-12,5.7994034e-13,4.5774396e-14,1.9228778,1.7814113,2.0399668,32.752903,GB6 J0431+7403              ,BLL,0.18996035,0.64721113,0.46771833
4FGL J0433.1+3227 ,68.2897,32.4614,167.882,-10.448068,0.0308,11.84213,6630.9536,4.0280565e-12,4.726609e-16,5.446133e-13,4.121231e-13,4.9626953e-13,5.946754e-13,9.0605344e-13,5.6375835e-13,1.8934695e-13,1.9006584,1.8694613,0.6767065,18.833439,NVSS J043307+322840         ,BLL,-0.13890679,0.612404,0.3521853
4FGL J0433.6+2905 ,68.4107,29.0975,170.52231,-12.600864,0.014,45.27463,1935.1263,2.6040939e-11,1.1619366e-13,2.8314254e-12,4.521397e-12,4.627641e-12,4.4504387e-12,3.686265e-12,2.1433604e-12,8.4594e-19,2.1074803,2.0399013,3.895378,202.4129,MG2 J043337+2905            ,BLL,0.21070755,0.37916115,0.2690002
4FGL J0433.7-5725 ,68.441,-57.4279,266.93124,-40.926235,0.0319,20.685667,1909.7333,3.0525606e-12,2.0525722e-15,1.2343597e-13,3.3024522e-13,6.992841e-13,7.6812374e-13,6.675785e-13,8.872859e-14,2.014293e-17,1.9626671,1.6628219,4.38984,17.052782,SUMSS J043344-572613        ,BLL,0.44929013,0.37106678,0.6494867
4FGL J0434.1-2014 ,68.5293,-20.2444,217.85133,-38.953884,0.0675,12.55579,1035.6123,2.8101232e-12,2.954739e-12,1.4441893e-13,6.637357e-13,6.9855135e-13,2.2765692e-13,4.8625703e-13,3.8148334e-19,1.5628769e-16,2.2494452,2.096849,2.5740983,47.11808,TXS 0431-203                ,BLL,-0.6472206,0.010876713,0.272136
4FGL J0434.4-2342 ,68.6019,-23.7113,222.15494,-39.945553,0.0683,9.309754,1059.4559,2.8650266e-12,1.1290205e-12,1.0245114e-12,6.677332e-13,3.7105114e-13,2.7109123e-13,1.7011681e-13,4.2059e-15,5.226744e-20,2.4088638,2.3719323,1.0587063,15.330355,PMN J0434-2342              ,BLL,-0.52664274,0.09107897,-0.3513612
4FGL J0434.7+0922 ,68.6886,9.3783,186.95619,-24.764427,0.0297,18.941,3052.503,7.460977e-12,2.6982636e-14,1.1780379e-12,6.858225e-13,1.1116381e-12,1.1970748e-12,1.3101445e-12,9.707097e-13,5.168924e-13,1.9672297,1.9070792,1.6471205,37.40821,TXS 0431+092                ,BLL,-0.2745855,0.5155804,0.32009616
4FGL J0435.4-2623 ,68.8588,-26.3925,225.62082,-40.42884,0.0793,4.9978557,2857.357,1.2189455e-12,4.2753462e-17,3.7190728e-13,1.647666e-13,2.2567468e-13,1.2671885e-13,1.2710212e-13,2.6730888e-13,1.0658155e-19,2.1108255,2.096535,0.18578987,10.593268,1RXS J043518.7-262120       ,BLL,-0.38602015,0.39562586,-0.0562684
4FGL J0437.4-6155 ,69.3535,-61.9321,272.46332,-39.310204,0.0727,10.663158,1775.0594,2.3652553e-12,1.9807404e-12,2.0807297e-13,3.8473678e-13,4.0333692e-13,2.858405e-13,2.362962e-13,1.06715994e-13,1.8033745e-17,2.2293797,2.1509075,1.1630999,7.114842,PMN J0437-6157              ,BLL,-0.70100695,0.21848288,0.21910526
4FGL J0438.9-4521 ,69.7447,-45.3584,250.83379,-41.765965,0.0353,30.029394,697.50946,8.281609e-12,1.3297758e-14,2.6773542e-12,2.0328932e-12,1.4560154e-12,6.336426e-13,2.7376072e-13,3.4014818e-13,4.8540645e-20,2.413505,2.3149874,2.5293386,42.5114,PKS 0437-454                ,BLL,-0.13925108,-0.07710699,-0.33176976
4FGL J0439.8-1859 ,69.9579,-18.9991,216.93407,-37.268463,0.0286,18.161264,2173.4683,4.0212677e-12,1.7440949e-14,2.8053493e-13,5.6504654e-13,5.545276e-13,8.813639e-13,6.874559e-13,7.200802e-13,1.192919e-17,1.9145658,1.7608358,2.2765746,17.170176,1SXPS J043949.5-190102      ,BLL,0.30945972,0.60995835,0.43037942
4FGL J0440.2-2458 ,70.0679,-24.9685,224.1979,-39.0085,0.0328,12.31574,6765.5464,2.4775652e-12,7.396219e-15,7.456883e-18,1.292749e-13,1.519665e-13,5.0174963e-13,4.623328e-13,1.0825663e-12,1.8988557e-13,1.669146,1.5670193,1.5517404,7.7398415,RBS 0570                    ,BLL,0.89166296,0.8617616,0.79237276
4FGL J0440.8+2749 ,70.2204,27.8319,172.56613,-12.21581,0.0309,20.506174,2698.9165,6.9947273e-12,3.3849158e-12,1.7978766e-12,9.638529e-13,1.1363857e-12,1.4048013e-12,1.8734296e-12,4.5100523e-13,1.9470234e-13,2.027639,1.851948,2.7842991,9.916931,B2 0437+27B                 ,BLL,-0.6863808,0.53289187,0.23032431
4FGL J0441.2-2953 ,70.3216,-29.896,230.47029,-39.96078,0.1012,4.7228165,1196.3894,1.3598724e-12,1.0016728e-14,4.860735e-13,7.467765e-14,2.7771915e-13,1.6953737e-13,5.3573256e-17,1.0223522e-18,5.431761e-16,2.4318051,2.429733,0.05598126,15.64108,PKS 0439-299                ,BLL,-0.73832566,-0.24172701,-0.112533875
