,name_cat,ra_cat,dec_cat,e_Pos,Class,SubClass,ref,remove_code,sep,name,ra,dec,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,significance_max,flux_aper90_ave_b,flux_aper90_ave_h,flux_aper90_ave_m,flux_aper90_ave_s,e_flux_aper90_ave_b,e_flux_aper90_ave_h,e_flux_aper90_ave_m,e_flux_aper90_ave_s,flux_flag,ks_intra_prob_b,kp_intra_prob_b,var_inter_prob_b,kp_prob_b_max,var_inter_prob,dof,chisqr,EDR3Name_gaia,Plx_gaia,e_Plx_gaia,X_PU_gaia,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,PM_gaia,pmRA_gaia,e_pmRA_gaia,pmDE_gaia,e_pmDE_gaia,_r_gaia,X_PU_2mass,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,_r_2mass,X_PU_catwise,W1mag_catwise,e_W1mag_catwise,W2mag_catwise,e_W2mag_catwise,pmRA_catwise,pmDE_catwise,_r_catwise,X_PU_unwise,e_FW1_unwise,e_FW2_unwise,_r_unwise,W1mag_allwise,W2mag_allwise,W3mag_allwise,W4mag_allwise,e_W1mag_allwise,e_W2mag_allwise,e_W3mag_allwise,X_PU_allwise,e_W4mag_allwise,_r_allwise,X_PU_gaiadist,rgeo,rpgeo,_r_gaiadist,b_rgeo,B_rgeo,b_rpgeo,B_rpgeo,Flag_gaiadist,main_id,main_type,_r_simbad,W1mag_unwise,W2mag_unwise,e_W1mag_unwise,e_W2mag_unwise,pm_gaia,W1mag_comb,e_W1mag_comb,W2mag_comb,e_W2mag_comb,CSC_flags
724,CXOMP J10569-0340,164.231667,-3.675,,AGN,A,2010A&A...518A..10V,0,0.168042,2CXO J105655.6-034030,164.2317083,-3.675,0.71,0.71,8.1,17.29,17.29,2.16e-14,1.26e-14,3.65e-15,5.37e-15,1.84e-15,1.73e-15,4.44e-16,4.53e-16,0,0.964,0.991,,0.991,,0,,,,,0.71,,,,,,,,,,,,,0.71,,,,,,,,0.7424795216031214,16.289,0.032,15.981,0.069,0.02607,-0.00472,0.097344861,1.113671405756653,8.0385,30.88,0.058,16.273,16.06,11.791,8.508,0.071,0.188,,0.8304749484481756,,0.228,0.71,,,,,,,,,[JBA2003]  3,AGN,0.169369,16.27310846532702,16.024069456761374,-0.0282971516452622,-0.0886807575394266,,16.289,0.032,15.981,0.069,
725,PKS 1055+01,164.623333,1.566111,,AGN,Q,2010A&A...518A..10V,0,0.39774,2CXO J105829.5+013358,164.6232917,1.566213889,0.71,0.71,1.5,45.25,36.08,2.13e-12,1.17e-12,3.95e-13,5.61e-13,6.71e-14,5.75e-14,1.86e-14,2.92e-14,0,0.82,0.486,,0.446,,0,,Gaia EDR3 3808373275462572800,,,0.710000108987879,16.507444,0.035257,16.881662,0.102682,15.81122,0.10654,0.341,-0.256,0.062,0.225,0.062,0.50784986,0.7872103531596876,15.984,15.174,14.122,0.09,0.073,0.066,0.553,0.7118294319019128,11.088,0.013,9.944,0.009,-0.01014,0.01658,0.572784789,0.710021401171683,32.423,108.92,0.519,11.26,10.162,7.441,5.04,0.022,0.02,0.018,0.712987503482214,0.036,0.426,0.710000108987879,7275.85254,4922.43994,0.508,5340.84521,9401.31543,4045.93262,5825.71533,10033.0,4C 01.28,BLLac,0.503267,11.0533625302436,9.932644096137484,-0.0009322288270449,-0.0011446944867123,,11.088,0.013,9.944,0.009,extent
726,SDSS J10588+4106,164.714167,41.112222,,AGN,Q,2010A&A...518A..10V,0,0.710039,2CXO J105851.4+410644,164.7142917,41.11238611,0.77,0.73,97.3,6.05,6.05,4.49e-14,2.21e-14,4.48e-15,1.83e-14,9.24e-15,8.3e-15,1.88e-15,3.59e-15,0,0.723,0.883,,0.883,,0,,,,,0.77,,,,,,,,,,,,,0.77,,,,,,,,0.7805009673280361,15.719,0.023,14.827,0.026,0.01601,0.01278,0.399142417,0.8087992643419009,7.7945,29.163,0.292,15.539,14.525,11.242,8.898,0.041,0.051,0.152,0.7947021832107926,0.46,0.576,0.77,,,,,,,,,[VV2006] J105851.4+410644,QSO,0.288451,15.710993354694669,14.7815073885249,-0.0163497050829528,-0.0266660981466745,,15.719,0.023,14.827,0.026,
727,SDSS J10590+1210,164.769583,12.173333,,AGN,Q,2010A&A...518A..10V,0,0.06816,2CXO J105904.7+121023,164.7695833,12.17331944,0.74,0.73,128.9,5.69,5.69,7.17e-14,3.76e-14,1.6e-14,1.81e-14,1.53e-14,1.38e-14,4.7e-15,4.74e-15,0,0.002,0.011,,0.011,,0,,Gaia EDR3 3871649963482619904,,,0.7400003445053522,17.404379,0.00444,17.647903,0.012722,16.984926,0.011463,0.04,-0.006,0.111,0.04,0.085,0.207849947,0.8229219134091642,16.246,15.351,15.044,0.091,0.097,0.109,0.226,0.7421465054616911,14.225,0.014,13.214,0.011,-0.00277,0.0021,0.071701381,0.7439956152888269,10.989,39.842,0.049,14.222,13.177,9.628,7.565,0.029,0.03,0.044,0.7481607551649578,0.21,0.129,0.7400003445053522,7376.25391,5557.89453,0.208,5634.14551,9598.17773,4840.96436,6799.06299,10013.0,[VV2006] J105904.7+121024,QSO,0.25319,14.23633662789324,13.204474066884464,-0.0059267573166196,-0.0085242284016736,,14.225,0.014,13.214,0.011,
728,SDSS J11008+1038,165.206667,10.645,,AGN,Q,2010A&A...518A..10V,0,0.228813,2CXO J110049.6+103841,165.2067083,10.64494722,0.82,0.74,25.0,10.08,10.08,4.97e-14,3.12e-14,9.07e-15,9.41e-15,6.13e-15,5.58e-15,1.64e-15,1.93e-15,0,0.703,0.466,,0.466,,0,,Gaia EDR3 3868342078455282432,,,0.820001280349976,19.111652,0.005545,19.595743,0.120127,18.467056,0.053798,0.316,0.171,0.306,-0.266,0.229,0.2355336,0.8200011010936264,,,,,,,,0.8236271278890466,15.081,0.019,13.711,0.014,-0.00504,-0.01859,0.2501033,0.8280954388201639,9.4658,37.289,0.299,15.143,13.719,10.454,7.823,0.038,0.04,0.094,0.8357342674527352,0.187,0.343,0.820001280349976,3597.94385,3930.23682,0.236,2555.76172,5079.51123,3367.61694,4675.18262,10033.0,[VV2006] J110049.6+103842,QSO,0.240125,15.048677967583425,13.694892856483076,-0.01078829543899,-0.0125332066183406,,15.081,0.019,13.711,0.014,
729,SDSS J11050+5941,166.258333,59.684444,,AGN,A,2010A&A...518A..10V,0,0.568946,2CXO J110502.0+594103,166.2584583,59.6843,0.71,0.71,178.4,19.73,19.73,7.35e-13,4.59e-13,1.15e-13,1.62e-13,4.49e-14,4.05e-14,1.03e-14,1.66e-14,0,0.382,0.822,0.947,0.003,,0,,Gaia EDR3 860665511444275840,,,0.7100024801592174,17.210337,0.014902,16.368181,0.016761,15.237075,0.012254,0.134,0.099,0.108,0.091,0.119,0.34863333,0.720071861134901,14.012,13.27,12.853,0.051,0.056,0.042,0.268,0.7150249262775948,11.474,0.012,11.08,0.009,-0.04721,-0.01099,0.261488435,0.7101941531710043,25.479,65.168,0.4,11.916,11.663,8.233,5.632,0.023,0.022,0.02,0.7134644526521836,0.035,0.472,0.7100024801592174,4888.48193,2327.74414,0.349,3560.46216,6580.01318,2065.34497,2591.08252,10033.0,MCG+10-16-052,Seyfert_1,0.368878,11.51179881494806,11.086937885739786,-0.0011174451753527,-0.0019830509246546,,11.474,0.012,11.08,0.009,
730,SDSS J11052+1118,166.318333,11.300278,,AGN,A,2010A&A...518A..10V,0,0.348039,2CXO J110516.4+111801,166.3184167,11.30034722,0.78,0.74,167.6,8.02,8.02,9.64e-14,4.52e-14,1.74e-14,3.38e-14,1.38e-14,1.19e-14,3.79e-15,5.89e-15,0,0.852,0.576,,0.576,,0,,Gaia EDR3 3868493295663628672,,,0.7835247531053757,21.12295,0.036929,20.632784,0.318447,18.44884,0.00378,,,,,,0.312182836,0.9270474486777902,,,,,,,1.029,0.7844399098082657,14.554,0.016,14.168,0.017,-0.02672,0.00494,0.132216672,0.7978984723008311,10.067,35.127,0.12,14.53,13.965,11.396,8.37,0.03,0.042,0.204,0.7925472932891765,,0.15,0.7835247531053757,,,,,,,,,2MASS J11051639+1118003,Seyfert_1,0.329959,14.602433638048876,14.127651503478608,-0.0076067272414921,-0.0175883857519548,,14.554,0.016,14.168,0.017,
731,SDSS J11059+0312,166.484167,3.211944,,AGN,A,2010A&A...518A..10V,0,0.408915,2CXO J110556.1+031243,166.4841667,3.212058333,0.71,0.71,86.3,12.47,12.47,6.91e-13,6.09e-13,6.12e-14,2.02e-14,6.76e-14,6.68e-14,9.34e-15,4.98e-15,0,0.813,0.606,,0.606,,0,,Gaia EDR3 3814708107410461184,,,0.7100007161638642,18.533613,0.007326,18.960625,0.035565,17.355476,0.021269,0.052,0.047,0.208,0.024,0.189,0.297704531,0.7278055327292037,15.609,14.692,13.558,0.075,0.075,0.054,0.463,0.7112066179889217,12.316,0.012,11.182,0.008,-0.00156,-0.01034,0.524644123,0.710192328507736,19.606,68.998,0.476,12.21,11.053,8.267,6.023,0.022,0.021,0.023,0.7135417951817818,0.051,0.465,0.7100007161638642,4769.45654,2076.61987,0.298,3534.77051,6322.91797,1897.32983,2302.38135,10033.0,2MASS J11055618+0312430,QSO,0.277581,12.334574269389934,11.154221847580969,-0.0018346069146331,-0.0022338271307222,,12.316,0.012,11.182,0.008,
732,HS 1103+6416,166.544583,64.0025,,AGN,Q,2010A&A...518A..10V,0,0.469449,2CXO J110610.7+640009,166.54475,64.00261389,0.71,0.71,139.2,9.84,9.84,2.15e-13,1.15e-13,2.56e-14,7.47e-14,2.88e-14,2.61e-14,6.19e-15,1.06e-14,0,0.306,0.657,,0.657,,0,,Gaia EDR3 1055569237551031552,,,0.710000029265605,15.838159,0.00332,15.976281,0.007222,15.526432,0.00721,0.063,0.021,0.031,0.059,0.032,0.239151435,0.7236712228853099,15.06,14.55,13.949,0.051,0.068,0.061,0.331,0.7117584132501139,13.364,0.016,12.255,0.01,-0.0064,-0.00085,0.227520777,0.7107665149909076,13.352,44.594,0.256,13.413,12.27,8.502,6.289,0.029,0.025,0.024,0.7155564539799218,0.065,0.258,0.710000029265605,14446.3135,18684.334,0.239,10675.3906,18637.9043,11654.9395,26097.4395,10022.0,QSO B1103+6416,QSO,0.23849,13.378496681014878,12.261036574208877,-0.0032679041964632,-0.0040014314309904,,13.364,0.016,12.255,0.01,
733,SDSS J11063+0357,166.591667,3.963056,,AGN,A,2010A&A...518A..10V,0,0.504851,2CXO J110621.9+035747,166.5915417,3.963061111,0.74,0.73,29.2,3.82,3.82,2.35e-14,1.94e-14,2.35e-15,1.8e-15,7.28e-15,7.12e-15,1.17e-15,1.01e-15,0,0.177,0.108,,0.108,,0,,Gaia EDR3 3814823079390856576,,,0.7405680846694921,20.583374,0.036792,19.446115,0.110394,17.898712,0.061183,,,,,,0.245351964,0.8824800002017043,16.242,15.635,15.148,0.128,0.137,0.184,0.563,0.7674721563392382,,,,,,,1.076779258,0.7464001612781176,11.279,39.107,1.097,14.107,13.318,9.971,6.84,0.027,0.031,0.056,0.7480405007457818,0.08,0.306,0.7405680846694921,,,,,,,,,2MASS J11062199+0357474,Seyfert_2,0.212647,,,,,,,,,,
